"Phase","Date","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"Current Settings","20260209","-29.40","-0.29","2","71.40","29.40","5"
"Current Settings","20260210","36.25","0.36","2","37.70","13.05","5"
"Current Settings","20260211","47.04","0.47","2","55.86","27.93","5"
"Current Settings","20260212","73.95","0.74","2","81.20","11.60","5"
"Current Settings","20260213","-51.93","-0.52","6","7.92","134.71","6"
"Current Settings","20260209","-94.49","-0.94","4","0.00","94.49","4"
"Current Settings","20260210","-10.91","-0.11","8","65.28","40.20","5"
"Current Settings","20260211","142.18","1.42","5","161.03","23.36","5"
"Current Settings","20260212","144.05","1.44","11","160.15","63.42","6"
"Current Settings","20260213","-596.26","-5.96","27","27.00","597.56","6"
"Current Settings","20260209","0.00","0.00","0","0.00",,"5"
"Current Settings","20260210","0.00","0.00","0","0.00",,"5"
"Current Settings","20260211","0.00","0.00","0","0.00",,"5"
"Current Settings","20260212","-26.22","-0.26","2","9.66","31.74","5"
"Current Settings","20260213","0.00","0.00","0","0.00",,"5"
"Current Settings","20260209","-125.75","-1.26","6","71.40","125.75","7"
"Current Settings","20260210","27.32","0.27","12","103.51","13.05","6"
"Current Settings","20260211","153.12","1.53","11","173.42","27.93","6"
"Current Settings","20260212","136.71","1.37","13","163.50","11.60","6"
"Current Settings","20260213","-627.63","-6.28","35","13.57","652.14","7"
