"Scenario","Date","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"NO-MACD (appsettings.json)","20260209","14.16","0.14","4","81.48","63.06","7"
"NO-MACD (appsettings.json)","20260210","36.25","0.36","2","37.70","13.05","6"
"NO-MACD (appsettings.json)","20260211","196.96","1.97","6","205.66","27.93","7"
"NO-MACD (appsettings.json)","20260212","14.81","0.15","6","88.45","11.60","8"
"NO-MACD (appsettings.json)","20260213","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT (all roles on)","20260209","14.16","0.14","4","81.48","63.06","7"
"MACD-DEFAULT (all roles on)","20260210","2.90","0.03","2","23.20","13.05","6"
"MACD-DEFAULT (all roles on)","20260211","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT (all roles on)","20260212","-5.35","-0.05","6","88.45","16.79","7"
"MACD-DEFAULT (all roles on)","20260213","179.18","1.79","6","182.32","118.80","7"
"NO-MACD (appsettings.json)","20260209","-10.01","-0.10","2","18.59","17.16","6"
"NO-MACD (appsettings.json)","20260210","-68.62","-0.69","11","0.00","130.89","6"
"NO-MACD (appsettings.json)","20260211","-66.56","-0.67","7","62.66","69.40","6"
"NO-MACD (appsettings.json)","20260212","162.19","1.62","7","176.29","11.44","6"
"NO-MACD (appsettings.json)","20260213","-97.33","-0.97","9","101.56","97.33","6"
"MACD-DEFAULT (all roles on)","20260209","-85.41","-0.85","4","18.59","85.41","6"
"MACD-DEFAULT (all roles on)","20260210","-68.26","-0.68","11","0.00","130.89","6"
"MACD-DEFAULT (all roles on)","20260211","-74.11","-0.74","15","62.66","93.98","7"
"MACD-DEFAULT (all roles on)","20260212","162.19","1.62","7","176.29","11.44","6"
"MACD-DEFAULT (all roles on)","20260213","-297.12","-2.97","19","86.49","336.27","6"
"NO-MACD (appsettings.json)","20260209","0.00","0.00","0","0.00",,"6"
"NO-MACD (appsettings.json)","20260210","0.00","0.00","0","0.00",,"5"
"NO-MACD (appsettings.json)","20260211","0.00","0.00","0","0.00",,"6"
"NO-MACD (appsettings.json)","20260212","-26.22","-0.26","2","9.66","31.74","6"
"NO-MACD (appsettings.json)","20260213","0.00","0.00","0","0.00",,"6"
"MACD-DEFAULT (all roles on)","20260209","0.00","0.00","0","0.00",,"5"
"MACD-DEFAULT (all roles on)","20260210","0.00","0.00","0","0.00",,"6"
"MACD-DEFAULT (all roles on)","20260211","-36.25","-0.36","2","21.03","36.25","7"
"MACD-DEFAULT (all roles on)","20260212","-26.22","-0.26","2","9.66","31.74","6"
"MACD-DEFAULT (all roles on)","20260213","0.00","0.00","0","0.00",,"6"
"NO-MACD (appsettings.json)","20260209","14.16","0.14","4","81.48","63.06","8"
"NO-MACD (appsettings.json)","20260210","46.24","0.46","7","55.49","35.29","7"
"NO-MACD (appsettings.json)","20260211","196.96","1.97","6","199.86","27.93","8"
"NO-MACD (appsettings.json)","20260212","172.36","1.72","15","187.76","33.73","8"
"NO-MACD (appsettings.json)","20260213","179.18","1.79","6","182.32","118.80","8"
"MACD-DEFAULT (all roles on)","20260209","-41.25","-0.41","9","81.48","63.06","7"
"MACD-DEFAULT (all roles on)","20260210","-91.47","-0.91","17","35.24","142.22","7"
"MACD-DEFAULT (all roles on)","20260211","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT (all roles on)","20260212","161.73","1.62","17","177.02","53.89","8"
"MACD-DEFAULT (all roles on)","20260213","179.18","1.79","6","182.32","118.80","7"
